platform,has_profile_pic,bio_length,username_randomness,followers,following,follower_following_ratio,account_age_days,posts,posts_per_day,caption_similarity_score,content_similarity_score,follow_unfollow_rate,spam_comments_rate,generic_comment_rate,suspicious_links_in_bio,verified,is_fake
Twitter,0,70,1,390,686,0.56768559,3315,201,0.060615199,0.597643876,0.896776455,124,79,10,0,0,1
Instagram,1,107,1,424,716,0.591352859,1379,181,0.13115942,0.507626957,0.142692975,466,178,136,0,1,1
Twitter,1,57,1,393,732,0.536152797,3078,228,0.074050016,0.783280143,0.584594873,241,134,37,1,1,1
Instagram,1,33,0,433,730,0.592339261,3015,218,0.072281167,0.266986203,0.783710635,211,160,140,1,0,1
Twitter,0,19,1,383,712,0.5371669,3893,189,0.04853621,0.015348681,0.273665436,474,47,132,0,0,1
Twitter,1,49,0,393,708,0.554301834,1716,179,0.104251602,0.407094583,0.844081061,16,193,24,1,1,1
Instagram,1,101,1,422,690,0.610709117,453,186,0.40969163,0.507774133,0.769648979,15,32,125,0,1,1
Instagram,0,215,1,418,703,0.59375,342,200,0.583090379,0.297262719,0.486094067,384,83,9,0,0,1
Twitter,1,137,0,429,686,0.624454148,393,180,0.456852792,0.383361882,0.118715705,340,100,132,1,1,1
Facebook,0,159,1,395,689,0.572463768,1270,199,0.15656963,0.133058233,0.97010716,380,154,21,0,0,1
Instagram,0,51,1,392,723,0.541436464,3051,215,0.070445609,0.277289903,0.624230224,474,46,41,0,0,1
Facebook,1,14,1,409,708,0.576868829,4060,214,0.05269638,0.240095348,0.517098404,256,84,100,1,1,1
Facebook,1,228,1,402,691,0.580924855,971,202,0.20781893,0.300986854,0.885449585,285,193,147,0,1,1
Facebook,1,83,0,384,679,0.564705882,2206,196,0.088808337,0.299054111,0.42135621,467,42,27,0,0,1
Instagram,1,130,1,377,664,0.566917293,4795,207,0.043160967,0.558968371,0.563641351,279,79,20,1,1,1
Facebook,1,36,1,385,707,0.543785311,166,206,1.233532934,0.25059694,0.858412988,45,146,138,0,1,1
Instagram,1,125,0,398,677,0.587020649,255,222,0.8671875,0.940961263,0.392972183,257,195,68,0,0,1
Facebook,0,248,1,368,722,0.508990318,302,176,0.580858086,0.51127483,0.77239158,142,137,36,1,0,1
Twitter,0,39,1,396,725,0.545454545,3104,211,0.067954911,0.128966006,0.256137773,284,21,116,0,0,1
Twitter,1,71,1,412,721,0.570637119,3841,200,0.052056221,0.279606271,0.702365102,354,193,32,1,1,1
Instagram,0,39,1,407,704,0.577304965,2557,190,0.074276779,0.729757496,0.510434864,317,129,44,1,0,1
Twitter,1,235,0,402,696,0.576757532,1506,221,0.146648971,0.013659038,0.164906796,12,107,135,1,0,1
Twitter,0,55,1,384,735,0.52173913,1257,208,0.165341812,0.937817986,0.13600746,466,97,115,1,0,1
Facebook,0,150,0,424,691,0.612716763,2263,177,0.078180212,0.445176922,0.457688207,320,17,133,0,1,1
Instagram,0,103,1,386,758,0.5085639,4341,192,0.044219254,0.521079023,0.710847109,44,127,142,1,1,1
Facebook,1,138,1,413,683,0.60380117,210,189,0.895734597,0.988412236,0.603295989,46,18,142,0,0,1
Facebook,0,109,1,436,682,0.638360176,3794,189,0.049802372,0.503403086,0.854725029,15,157,136,0,1,1
Facebook,1,191,0,392,749,0.522666667,4522,182,0.04023878,0.947743994,0.389661649,381,133,60,1,1,1
Facebook,0,135,1,383,697,0.548710602,3048,203,0.066579206,0.915231116,0.843642139,106,26,55,1,0,1
Facebook,0,92,1,378,694,0.543884892,981,194,0.197556008,0.941315529,0.037028455,2,14,132,1,1,1
Facebook,0,93,0,373,666,0.55922039,2120,221,0.104196134,0.812373057,0.365804617,103,158,125,0,1,1
Facebook,0,55,0,403,752,0.535192563,3746,193,0.051507873,0.296398085,0.072983059,453,171,125,0,0,1
Instagram,0,59,0,390,662,0.588235294,178,183,1.022346369,0.346382484,0.919244171,94,137,122,0,1,1
Twitter,1,137,0,400,724,0.551724138,1547,194,0.125322997,0.364984068,0.475312177,132,148,34,1,1,1
Facebook,1,38,1,415,695,0.596264368,2035,189,0.092829077,0.97918084,0.316156445,409,174,9,0,1,1
Facebook,0,27,1,353,706,0.499292786,299,182,0.606666667,0.360755504,0.492487705,347,182,90,1,1,1
Facebook,0,48,1,398,685,0.580174927,2568,205,0.079797587,0.108689309,0.532846075,270,122,20,1,1,1
Facebook,0,163,1,385,705,0.545325779,3567,202,0.05661435,0.778328895,0.846232472,200,94,139,0,0,1
Facebook,0,124,0,395,684,0.576642336,4040,206,0.050977481,0.366063292,0.542427736,253,163,8,1,0,1
Facebook,1,12,1,374,709,0.526760563,275,218,0.789855072,0.620935912,0.431381423,182,126,143,0,1,1
Twitter,0,223,1,403,746,0.539491299,2996,208,0.069402736,0.924360412,0.961354447,149,73,119,0,0,1
Twitter,1,35,1,422,746,0.564926372,53,195,3.611111111,0.575505577,0.968558138,36,57,126,0,0,1
Facebook,0,100,1,403,688,0.58490566,1424,202,0.141754386,0.637700178,0.038416784,468,146,22,0,0,1
Twitter,1,25,0,433,682,0.633967789,1628,213,0.130755064,0.642862564,0.706845757,489,191,38,1,0,1
Instagram,0,85,1,394,663,0.593373494,489,207,0.42244898,0.612399186,0.371758066,412,109,127,0,1,1
Facebook,0,3,1,398,730,0.544459644,2355,202,0.08573854,0.159769377,0.67519967,409,137,21,1,1,1
Instagram,1,222,1,393,719,0.545833333,417,207,0.495215311,0.456415415,0.636922394,325,48,54,0,1,1
Instagram,0,81,0,422,756,0.557463672,2557,214,0.083659109,0.00766402,0.330104513,138,181,73,0,0,1
Facebook,0,191,0,398,694,0.572661871,921,203,0.220173536,0.626264804,0.986658723,99,60,46,1,1,1
Twitter,0,165,1,382,745,0.512064343,1554,195,0.125401929,0.575358295,0.357109454,403,186,26,0,0,1
Instagram,1,126,1,405,716,0.564853556,2686,198,0.073688128,0.318137219,0.631981589,235,129,127,0,1,1
Facebook,0,87,1,425,677,0.626843658,666,226,0.338830585,0.523895503,0.813386406,83,74,47,0,1,1
Instagram,0,126,0,391,708,0.551480959,4102,207,0.05045089,0.493057782,0.145464981,346,7,148,1,0,1
Instagram,1,119,1,420,709,0.591549296,2470,178,0.072035613,0.250915216,0.300568391,453,146,14,0,1,1
Instagram,1,214,1,419,738,0.566982409,1475,209,0.141598916,0.293287548,0.198972719,32,195,80,0,0,1
Instagram,1,21,1,380,693,0.547550432,338,217,0.640117994,0.762540997,0.781822425,120,141,117,0,1,1
Twitter,0,129,0,368,707,0.519774011,3160,177,0.055994938,0.755732319,0.801208542,29,21,44,1,0,1
Instagram,0,30,1,361,748,0.481975968,269,188,0.696296296,0.46978215,0.255943861,433,16,18,1,0,1
Instagram,0,118,1,406,701,0.578347578,1088,212,0.194674013,0.717508952,0.004130189,33,106,54,1,0,1
Instagram,1,10,0,394,651,0.604294479,1294,215,0.166023166,0.45080128,0.423350494,132,62,85,1,1,1
Twitter,0,219,0,383,743,0.514784946,657,204,0.310030395,0.851374035,0.687137614,207,121,104,0,1,1
Instagram,0,45,1,376,698,0.537911302,2829,193,0.06819788,0.332806682,0.62250218,139,25,77,1,0,1
Instagram,1,95,0,438,708,0.617771509,3974,198,0.049811321,0.9272925,0.445699791,75,163,125,1,0,1
Twitter,1,189,1,402,684,0.586861314,4958,227,0.045775358,0.542283651,0.301941637,74,116,59,1,0,1
Twitter,1,196,0,389,671,0.578869048,1337,184,0.137518685,0.535687861,0.474387342,307,44,75,1,1,1
Twitter,1,191,0,377,674,0.558518519,2357,230,0.097540288,0.670810384,0.01510281,306,29,90,0,0,1
Instagram,1,229,1,381,683,0.557017544,1668,185,0.110844817,0.340856011,0.073870619,404,115,115,0,1,1
Twitter,0,9,1,388,677,0.572271386,1826,203,0.111111111,0.724329571,0.162676791,454,148,23,1,1,1
Twitter,1,167,1,442,658,0.670713202,4031,207,0.051339286,0.320425103,0.625405357,57,147,125,1,1,1
Instagram,0,127,0,384,701,0.547008547,1213,191,0.157331137,0.39753883,0.218799211,97,169,113,1,0,1
Twitter,0,237,1,434,712,0.608695652,2769,192,0.069314079,0.674703437,0.423378919,124,89,99,1,1,1
Instagram,1,151,1,397,709,0.55915493,4416,216,0.04890197,0.378449101,0.621410841,447,118,71,0,0,1
Facebook,1,98,1,403,668,0.602391629,3059,191,0.062418301,0.199974123,0.830576807,348,183,113,0,0,1
Twitter,1,171,1,380,691,0.549132948,445,184,0.412556054,0.871901459,0.54965652,133,139,92,1,1,1
Facebook,0,111,1,398,702,0.566145092,1398,219,0.156540386,0.922155381,0.177126504,483,7,71,1,1,1
Instagram,1,59,0,393,689,0.569565217,4382,180,0.041067762,0.62673105,0.951739525,225,92,91,1,0,1
Twitter,1,189,1,383,681,0.561583578,2219,206,0.092792793,0.811150771,0.09001515,432,116,96,1,1,1
Instagram,1,86,1,403,699,0.575714286,3677,197,0.053561718,0.986652355,0.367119291,199,190,10,1,1,1
Facebook,1,144,0,390,691,0.563583815,2311,210,0.09083045,0.614774752,0.921323941,36,55,41,1,1,1
Instagram,1,64,1,399,675,0.590236686,4041,194,0.047996042,0.908792643,0.602333464,137,134,125,1,1,1
Twitter,0,246,1,371,695,0.533045977,3607,200,0.055432373,0.35925475,0.662652261,207,61,21,0,0,1
Twitter,0,222,1,399,706,0.564356436,1828,210,0.11481684,0.700472436,0.301692645,193,120,129,0,1,1
Facebook,0,222,1,423,675,0.625739645,3220,228,0.07078547,0.055805466,0.078538555,55,60,143,0,1,1
Instagram,1,233,1,397,731,0.542349727,4689,217,0.046268657,0.788971556,0.365760978,338,137,138,1,1,1
Twitter,1,56,0,400,732,0.545702592,4512,215,0.047640151,0.829803145,0.402157357,326,49,95,0,1,1
Facebook,1,182,0,379,730,0.518467852,2073,196,0.094503375,0.401175436,0.270272362,321,147,68,1,1,1
Twitter,0,105,0,376,687,0.546511628,4190,199,0.047482701,0.638955016,0.215485391,300,27,99,1,1,1
Twitter,1,180,1,409,724,0.564137931,2331,237,0.101629503,0.858361102,0.355508707,86,141,61,1,1,1
Instagram,1,183,0,415,789,0.525316456,686,178,0.259097525,0.883608165,0.639416877,94,75,18,0,1,1
Twitter,1,225,1,406,650,0.623655914,4959,170,0.034274194,0.106531524,0.949034747,195,7,59,0,1,1
Instagram,0,8,1,401,693,0.577809798,685,187,0.272594752,0.827487747,0.703780737,191,134,145,1,0,1
Twitter,1,21,1,408,708,0.575458392,2938,197,0.067029602,0.274243352,0.779603085,143,4,94,0,0,1
Facebook,0,140,0,408,695,0.586206897,3712,210,0.056558039,0.727306896,0.30606697,9,0,100,0,1,1
Twitter,1,88,0,413,648,0.636363636,341,193,0.564327485,0.325164153,0.104692483,240,110,80,0,1,1
Instagram,0,175,0,401,694,0.576978417,4700,212,0.045096788,0.056329671,0.291513545,148,72,17,0,0,1
Instagram,0,17,1,397,711,0.55758427,734,199,0.270748299,0.20987071,0.402654211,475,105,84,1,0,1
Facebook,0,114,0,405,675,0.599112426,1497,217,0.144859813,0.408671776,0.689881346,493,9,128,1,1,1
Twitter,1,203,1,392,672,0.582466568,3894,199,0.051091142,0.74122862,0.939358567,139,185,141,0,0,1
Twitter,1,167,0,381,708,0.537376587,2955,187,0.063261164,0.100703627,0.809292514,12,64,58,0,0,1
Facebook,0,144,0,417,685,0.60787172,1132,186,0.164165931,0.812934125,0.266400286,253,187,109,0,0,1
Twitter,0,142,1,406,683,0.593567251,4636,207,0.044640932,0.996951092,0.820300681,499,147,118,1,0,1
Twitter,1,105,1,398,666,0.596701649,1733,227,0.130911188,0.788257643,0.411746775,487,57,119,0,0,1
Instagram,1,14,0,397,727,0.54532967,3036,200,0.065854462,0.47373652,0.175438819,80,170,75,1,0,1
Twitter,0,206,0,430,752,0.571049137,2714,222,0.081767956,0.568160211,0.461253489,209,156,142,0,0,1
Twitter,1,62,0,378,679,0.555882353,2480,194,0.078194277,0.006160508,0.563220545,372,1,19,0,0,1
Facebook,1,246,1,368,694,0.529496403,1420,223,0.156931738,0.209273838,0.763405109,393,153,33,1,1,1
Facebook,1,166,1,393,694,0.565467626,1990,181,0.090909091,0.898988131,0.349896492,377,58,57,1,0,1
Instagram,1,12,0,397,651,0.608895706,4711,223,0.047325976,0.021729403,0.146779321,219,104,59,1,1,1
Twitter,0,80,0,441,711,0.619382022,488,197,0.402862986,0.904794953,0.094353547,396,0,107,1,0,1
Twitter,1,31,1,423,774,0.545806452,3820,204,0.053389165,0.113252608,0.112445983,417,30,140,0,1,1
Twitter,1,136,0,418,707,0.59039548,1442,223,0.154539155,0.13307413,0.95002342,58,37,92,1,1,1
Instagram,0,39,1,404,724,0.557241379,2391,205,0.085702341,0.175349911,0.951751255,127,21,66,1,1,1
Instagram,0,147,1,387,742,0.520861373,1385,223,0.160894661,0.799385325,0.968756445,304,193,88,1,1,1
Facebook,1,217,1,399,705,0.565155807,2157,235,0.108897127,0.478186575,0.302488869,261,174,39,0,0,1
Instagram,1,218,1,416,636,0.653061224,4945,201,0.0406389,0.14519663,0.191614421,267,0,46,1,1,1
Twitter,1,212,1,408,693,0.587896254,4397,196,0.044565712,0.68680182,0.980914473,28,87,87,0,0,1
Twitter,1,81,1,443,693,0.63832853,1392,203,0.145728643,0.940688366,0.98826409,332,177,138,0,1,1
Instagram,0,76,0,383,660,0.579425113,4801,200,0.041649313,0.572451474,0.078350442,379,163,19,1,0,1
Twitter,0,207,1,443,667,0.663173653,3143,205,0.065203562,0.098700006,0.7525281,281,172,147,0,1,1
Twitter,0,200,1,415,703,0.589488636,269,217,0.803703704,0.054750606,0.288663961,67,163,55,1,0,1
Instagram,1,190,0,398,708,0.56135402,3918,186,0.047461087,0.79587236,0.909298744,206,161,99,0,0,1
Instagram,1,75,1,403,714,0.563636364,1525,212,0.138925295,0.626083652,0.089225016,271,8,112,0,1,1
Twitter,1,171,0,395,689,0.572463768,478,212,0.442588727,0.922657339,0.888577736,308,109,87,1,0,1
Twitter,1,37,1,418,717,0.582172702,4272,192,0.044933302,0.547250151,0.002621266,402,83,103,1,0,1
Twitter,0,210,0,380,755,0.502645503,239,187,0.779166667,0.062395403,0.521977873,174,131,24,0,1,1
Facebook,0,187,0,403,723,0.556629834,610,183,0.299509002,0.40368685,0.335563848,217,62,32,1,0,1
Facebook,1,70,1,389,700,0.554921541,4588,198,0.043146655,0.657990689,0.427333754,159,131,102,1,1,1
Facebook,0,248,1,398,728,0.545953361,4425,226,0.051061907,0.384885351,0.433784571,325,132,78,0,1,1
Instagram,1,226,1,383,687,0.556686047,3398,200,0.058840836,0.999591397,0.653603159,243,137,128,0,0,1
Facebook,1,47,1,380,696,0.545193687,4541,214,0.047115808,0.405378614,0.023097123,252,107,15,0,1,1
Instagram,0,17,0,391,688,0.567489115,4538,192,0.042300066,0.546236126,0.691364108,453,171,84,1,1,1
Instagram,1,143,0,413,733,0.5626703,4891,188,0.03843009,0.225392033,0.022198129,188,39,58,0,0,1
Facebook,1,182,0,432,703,0.613636364,1832,190,0.10365521,0.152138204,0.18527376,260,35,124,1,0,1
Facebook,0,38,1,378,699,0.54,4987,188,0.037690457,0.645305539,0.606741652,442,34,130,0,0,1
Facebook,1,195,0,386,656,0.587519026,1155,217,0.187716263,0.588612747,0.086437436,385,58,142,1,1,1
Twitter,1,186,1,409,693,0.589337176,1752,197,0.112378779,0.004338857,0.990903659,499,192,31,1,1,1
Facebook,0,88,1,369,731,0.504098361,3599,186,0.051666667,0.284781535,0.784384088,129,115,110,0,0,1
Twitter,1,223,0,414,692,0.597402597,2486,191,0.076799357,0.643579573,0.705665927,484,30,99,0,0,1
Instagram,0,61,1,365,729,0.5,3339,195,0.058383234,0.812249346,0.267681006,2,173,102,1,0,1
Twitter,1,231,0,385,690,0.557163531,2334,205,0.087794433,0.312368653,0.048564892,453,48,115,0,0,1
Facebook,0,140,1,380,741,0.51212938,4387,227,0.051731996,0.647436369,0.978780996,350,133,117,0,0,1
Instagram,0,108,0,390,692,0.562770563,4464,187,0.041881299,0.26525793,0.14784828,42,197,118,1,0,1
Instagram,0,80,1,379,695,0.54454023,4582,205,0.044730526,0.690379895,0.830567341,132,105,135,1,0,1
Instagram,1,240,0,418,700,0.596291013,168,196,1.159763314,0.697947999,0.197517414,177,18,6,0,0,1
Twitter,0,228,0,367,708,0.517630465,3543,208,0.058690745,0.130223466,0.374095367,493,95,131,0,0,1
Facebook,0,133,1,416,692,0.6002886,4010,192,0.047868362,0.665089784,0.69358959,265,169,9,0,0,1
Instagram,0,210,1,404,749,0.538666667,78,197,2.493670886,0.333567182,0.945364891,410,29,59,0,1,1
Instagram,0,76,0,417,727,0.572802198,2899,231,0.079655172,0.172594932,0.019782356,23,25,24,0,1,1
Instagram,0,248,1,394,731,0.538251366,1109,192,0.172972973,0.500361233,0.260768158,21,130,41,1,1,1
Twitter,1,187,1,418,666,0.626686657,892,200,0.223964166,0.452296684,0.764965692,344,160,46,0,0,1
Twitter,1,89,1,391,734,0.531972789,4757,214,0.044976881,0.773874811,0.173393835,2,49,95,1,0,1
Facebook,1,13,0,385,687,0.559593023,1225,207,0.168841762,0.084515509,0.111455119,399,158,113,0,1,1
Twitter,1,94,0,412,641,0.641744548,4685,203,0.043320529,0.789753269,0.046184711,157,110,31,0,1,1
Instagram,1,53,1,415,674,0.614814815,565,182,0.32155477,0.106082362,0.502489995,367,195,73,0,1,1
Facebook,1,131,1,385,648,0.593220339,2860,220,0.07689619,0.207459028,0.767733651,426,95,15,1,0,1
Instagram,1,38,0,407,709,0.573239437,302,211,0.696369637,0.515882118,0.961734565,3,81,143,0,0,1
Instagram,0,71,1,427,690,0.617945007,4390,198,0.045092234,0.4631746,0.267485949,106,137,93,1,1,1
Twitter,1,24,0,432,717,0.601671309,109,215,1.954545455,0.988858975,0.121372402,295,21,4,1,0,1
Facebook,0,76,1,429,667,0.642215569,2413,202,0.083678542,0.589473713,0.402553273,271,190,6,0,1,1
Twitter,0,159,1,419,680,0.615271659,2648,201,0.07587769,0.327435595,0.055440301,231,53,7,0,1,1
Twitter,1,186,1,394,719,0.547222222,2726,233,0.085441878,0.900148869,0.331359652,360,178,32,0,1,1
Facebook,0,229,0,387,676,0.571639586,3339,191,0.057185629,0.312214957,0.64307999,237,80,61,0,0,1
Instagram,0,190,0,420,736,0.569877883,2141,216,0.100840336,0.273775635,0.168166024,71,131,115,1,1,1
Instagram,0,165,0,389,709,0.547887324,4524,207,0.045745856,0.494371795,0.631876751,87,36,128,1,0,1
Facebook,0,119,0,405,654,0.618320611,4734,186,0.039281943,0.913174784,0.971949038,15,198,90,0,1,1
Instagram,1,219,1,385,707,0.543785311,3814,171,0.044823067,0.708514255,0.86419992,373,62,147,1,1,1
Facebook,1,52,1,409,731,0.558743169,4201,202,0.048072347,0.677483215,0.356834855,90,50,54,0,0,1
Facebook,1,221,0,379,690,0.548480463,2257,211,0.093445527,0.726077265,0.421496283,449,135,77,1,0,1
Twitter,1,194,1,406,693,0.585014409,3646,212,0.05812997,0.659640611,0.4193207,438,0,5,0,1,1
Facebook,1,155,1,399,682,0.584187408,3060,186,0.060764456,0.75979636,0.85990089,19,7,51,0,0,1
Twitter,1,130,0,394,698,0.563662375,2522,227,0.089972255,0.192762022,0.993827072,434,80,1,1,1,1
Instagram,1,236,1,394,682,0.576866764,3418,216,0.063176367,0.177258287,0.825895682,211,104,38,1,1,1
Instagram,1,245,1,398,701,0.566951567,12,197,15.15384615,0.362163344,0.558118178,83,182,120,1,0,1
Instagram,1,225,0,374,729,0.512328767,4745,184,0.03876949,0.850959779,0.097366041,338,111,31,0,1,1
Instagram,1,207,1,387,687,0.5625,3267,231,0.070685435,0.714454215,0.954484149,440,136,115,1,1,1
Twitter,0,149,1,396,715,0.553072626,3146,189,0.060057197,0.566473343,0.8600458,125,178,91,0,1,1
Instagram,1,95,1,412,683,0.602339181,875,226,0.257990868,0.019447437,0.841410849,50,143,31,0,1,1
Facebook,0,165,0,402,736,0.545454545,2434,207,0.085010267,0.235802284,0.391817894,17,180,92,0,1,1
Facebook,0,199,0,375,693,0.540345821,884,194,0.21920904,0.803513943,0.447171379,460,58,130,0,1,1
Facebook,0,246,1,387,723,0.534530387,4651,163,0.035038693,0.242486693,0.119661777,336,44,61,1,1,1
Twitter,0,71,1,363,702,0.516358464,3986,215,0.053925257,0.730290197,0.937872984,442,164,12,0,0,1
Instagram,1,61,1,401,704,0.568794326,1580,194,0.122707147,0.184634265,0.943234363,352,90,69,0,0,1
Instagram,0,184,0,389,695,0.558908046,3772,201,0.053273257,0.606367558,0.254441268,116,65,20,0,1,1
Instagram,1,5,0,388,659,0.587878788,353,189,0.533898305,0.628211367,0.696007811,123,191,13,1,1,1
Twitter,1,205,0,413,662,0.622926094,1507,189,0.125331565,0.751966226,0.203489737,27,35,88,1,0,1
Facebook,0,31,1,419,726,0.576341128,3488,190,0.054456864,0.438342401,0.39294708,452,75,70,1,1,1
Facebook,1,98,1,407,730,0.556771546,2852,200,0.070101647,0.632674699,0.302381372,411,49,106,0,0,1
Instagram,0,137,1,418,766,0.544980443,2030,189,0.093057607,0.486969789,0.389590998,344,98,149,1,0,1
Facebook,0,130,1,408,720,0.565880721,1847,194,0.104978355,0.947338045,0.308972709,467,94,127,1,0,1
Facebook,1,186,1,394,761,0.517060367,2391,202,0.084448161,0.521880727,0.345291326,468,180,31,0,1,1
Twitter,1,75,0,401,698,0.573676681,4031,204,0.050595238,0.209597883,0.79106026,140,184,31,0,1,1
Twitter,0,176,1,410,687,0.595930233,3439,195,0.056686047,0.667892549,0.300027142,5,146,80,1,0,1
Twitter,1,58,1,399,696,0.572453372,2384,207,0.086792453,0.548467328,0.814695464,156,153,101,1,0,1
Twitter,1,30,1,409,681,0.599706745,3368,203,0.060255269,0.803829497,0.567922179,105,117,84,0,1,1
Instagram,1,92,0,385,734,0.523809524,4981,198,0.039743075,0.176911598,0.780444772,118,99,42,1,1,1
Twitter,0,68,1,410,685,0.597667638,1466,190,0.129516019,0.260939603,0.91889065,136,67,130,0,0,1
Facebook,0,189,0,381,693,0.548991354,2152,201,0.093358105,0.921629107,0.138424951,28,111,44,0,0,1
Instagram,1,51,0,416,739,0.562162162,3484,213,0.061119082,0.930026113,0.343890251,165,170,45,0,0,1
Facebook,1,88,0,387,684,0.564963504,574,206,0.35826087,0.442256766,0.055557496,64,126,114,0,1,1
Facebook,1,126,0,403,700,0.57489301,775,227,0.292525773,0.047751182,0.406910035,55,94,103,1,1,1
Facebook,1,168,0,406,706,0.574257426,3366,210,0.062370062,0.306555069,0.237402931,285,121,12,0,0,1
Twitter,1,30,1,454,730,0.621067031,4339,187,0.043087558,0.247122654,0.571678615,369,185,51,0,1,1
Twitter,0,212,1,385,691,0.556358382,3931,219,0.055696846,0.414676852,0.783389853,95,126,8,1,1,1
Instagram,1,249,0,407,698,0.582260372,2681,226,0.084265474,0.317800619,0.486365978,376,102,68,1,0,1
Instagram,0,83,0,401,689,0.58115942,4961,200,0.040306328,0.828992344,0.333622557,442,58,42,1,1,1
Twitter,1,230,0,435,750,0.579227696,2221,214,0.096309631,0.003036019,0.152556366,214,45,6,0,1,1
Facebook,0,126,1,424,711,0.595505618,1440,221,0.153365718,0.644631854,0.026830151,230,195,43,0,0,1
Instagram,1,149,1,424,668,0.633781764,714,230,0.321678322,0.664270225,0.677883011,57,39,101,0,0,1
Twitter,0,131,0,405,709,0.570422535,576,207,0.358752166,0.660626575,0.030545794,393,140,67,1,1,1
